data,codigo,simbolo,tipo,compra,venda
26092023,220,A,USD,"4,9711","4,9717"
27092023,220,A,USD,"5,0283","5,0289"
28092023,220,A,USD,"5,0469","5,0475"
29092023,220,A,USD,"5,007","5,0076"
2102023,220,A,USD,"5,0673","5,0679"
3102023,220,A,USD,"5,1094","5,11"
4102023,220,A,USD,"5,152","5,1526"
5102023,220,A,USD,"5,1707","5,1713"
6102023,220,A,USD,"5,1912","5,1918"
9102023,220,A,USD,"5,166","5,1666"
10102023,220,A,USD,"5,0856","5,0862"
11102023,220,A,USD,"5,049","5,0496"
13102023,220,A,USD,"5,0619","5,0625"
16102023,220,A,USD,"5,0612","5,0618"
17102023,220,A,USD,"5,0378","5,0384"
18102023,220,A,USD,"5,0562","5,0568"
19102023,220,A,USD,"5,0534","5,054"
20102023,220,A,USD,"5,0522","5,0528"
23102023,220,A,USD,"5,0158","5,0164"
24102023,220,A,USD,"5,0059","5,0065"
25102023,220,A,USD,"4,9975","4,9981"
26102023,220,A,USD,"5,0049","5,0055"
27102023,220,A,USD,"4,9474","4,948"
30102023,220,A,USD,"5,0068","5,0074"
31102023,220,A,USD,"5,0569","5,0575"
1112023,220,A,USD,"5,0188","5,0194"
3112023,220,A,USD,"4,8904","4,891"
6112023,220,A,USD,"4,8993","4,8999"
7112023,220,A,USD,"4,8664","4,867"
8112023,220,A,USD,"4,8849","4,8855"
9112023,220,A,USD,"4,9001","4,9007"
10112023,220,A,USD,"4,9213","4,9219"
13112023,220,A,USD,"4,924","4,9247"
14112023,220,A,USD,"4,8676","4,8682"
16112023,220,A,USD,"4,8569","4,8575"
17112023,220,A,USD,"4,8843","4,8849"
20112023,220,A,USD,"4,8717","4,8723"
21112023,220,A,USD,"4,88","4,8806"
22112023,220,A,USD,"4,8962","4,8968"
23112023,220,A,USD,"4,8925","4,8931"
24112023,220,A,USD,"4,8921","4,8927"
27112023,220,A,USD,"4,8945","4,8951"
28112023,220,A,USD,"4,8861","4,8867"
29112023,220,A,USD,"4,8927","4,8933"
30112023,220,A,USD,"4,9349","4,9355"
